u,v,key,osmid,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,lanes,ref,maxspeed,junction,access
96635109,96635111,0,288720070,1st Avenue South,residential,False,True,108.548,"[524, 1861, 1863]",485,44.0,0.002,1.1200000047683716,1.0,"[3653.64, 1785.34, 1119.07]",6558.05,nan,nan,nan,nan,nan
96635111,96772621,0,10884324,7th Street South,residential,False,False,102.326,991,886,44.0,0.002,1.190000057220459,1.0,[6925.42],6925.42,nan,nan,nan,nan,nan
96635111,96635112,0,288720070,1st Avenue South,residential,False,True,104.69,"[528, 1875]",489,44.0,0.002,1.1799999475479126,1.0,"[5121.24, 1652.34]",6773.58,nan,nan,nan,nan,nan
96635112,96635115,0,288720070,1st Avenue South,residential,False,True,106.828,532,492,44.0,0.002,0.949999988079071,1.0,[4732.48],4732.48,nan,nan,nan,nan,nan
96635112,96912619,0,10894908,South 8th Street,residential,False,False,104.595,"[1108, 1878]",955,44.0,0.002,1.149999976158142,1.0,"[3485.71, 3018.96]",6504.67,nan,nan,nan,nan,nan
96635115,96635116,0,288720070,1st Avenue South,residential,False,True,106.896,536,495,44.0,0.002,0.25999999046325684,0.49070045536856455,[612.59],612.59,nan,nan,nan,nan,nan
96635115,96770924,0,10884136,South 9th Street,tertiary,False,False,103.06,"[1880, 951]",848,50.0,0.002,0.4000000059604645,1.0,"[1186.52, 1554.31]",2740.83,2,nan,nan,nan,nan
96635116,96700804,0,10878786,10th Street South,residential,False,False,105.31199999999998,"[1882, 1966, 766]",699,44.0,0.002,0.0,0.0,"[nan, nan, nan]",0.0,2,nan,nan,nan,nan
96650991,1368581816,0,10875398,16th Avenue South,residential,False,True,36.288,1140,967,44.0,0.001,2.2899999618530273,1.0,[3691.85],3691.85,nan,nan,nan,nan,nan
96650996,96650998,0,83591065,16th Avenue South,tertiary,False,True,105.605,548,503,50.0,0.002,2.950000047683716,1.0,[13847.72],13847.72,2,nan,nan,nan,nan
96650996,96665450,0,91487795,South 5th Street,residential,False,False,103.802,656,595,44.0,0.002,2.640000104904175,1.0,[10893.22],10893.22,nan,nan,nan,nan,nan
96650998,96650999,0,83591065,16th Avenue South,tertiary,False,True,106.711,551,506,50.0,0.002,2.190000057220459,1.0,[9338.71],9338.71,2,nan,nan,nan,nan
96650998,96716409,0,85691282,South 6th Street,residential,False,False,104.678,805,732,44.0,0.002,2.190000057220459,1.0,[9979.03],9979.03,nan,nan,nan,nan,nan
96650999,96651000,0,83591065,16th Avenue South,tertiary,False,True,106.532,554,508,50.0,0.002,0.8500000238418579,1.0,[4973.48],4973.48,2,nan,nan,nan,nan
96650999,96772614,0,85691281,7th Street South,residential,False,False,106.729,989,884,44.0,0.002,0.9300000071525574,1.0,[5610.17],5610.17,nan,nan,nan,nan,nan
96651000,96808783,0,85691270,South 8th Street,residential,False,False,104.843,1052,921,44.0,0.002,0.46000000834465027,0.7909024718948426,[1523.66],1523.66,nan,nan,nan,nan,nan
96651000,96651001,0,83591065,16th Avenue South,tertiary,False,True,107.37700000000001,"[2753, 558]",513,50.0,0.002,0.7099999785423279,1.0,"[2127.8, 2270.76]",4398.56,2,nan,nan,nan,nan
96651001,96770943,0,10884136,South 9th Street,tertiary,False,False,104.513,969,864,50.0,0.002,0.6800000071525574,1.0,[3151.47],3151.47,2,nan,nan,nan,nan
96651001,1462034998,0,83591040,16th Avenue South,residential,False,True,76.116,1223,977,44.0,0.002,0.6800000071525574,1.0,[2392.46],2392.46,2,nan,nan,nan,nan
96653908,96791343,0,10889303,3rd Avenue North,residential,False,False,281.502,"[2403, 2405, 2409, 2411, 1018]",909,44.0,0.006,0.5600000023841858,0.7210756340999034,"[2121.64, 1026.42, 2796.59, 360.27, 89.44]",6394.36,nan,nan,nan,nan,nan
96653909,96653911,0,10875608,Palm Tree Road,residential,False,True,88.459,568,521,44.0,0.002,0.6800000071525574,1.0,[3759.33],3759.33,nan,nan,nan,nan,nan
96653909,96791360,0,10888757,5th Avenue North,residential,False,False,214.829,1033,910,44.0,0.005,0.8100000023841858,0.7062091331781777,[5392.18],5392.18,nan,nan,nan,nan,nan
96653911,96653912,0,10875608,Palm Tree Road,residential,False,True,89.256,571,523,44.0,0.002,0.47999998927116394,0.5557326202222025,[1413.67],1413.67,nan,nan,nan,nan,nan
96653911,96661721,0,10876164,6th Avenue North,residential,False,False,204.21300000000002,"[2386, 614]",556,44.0,0.005,0.5099999904632568,0.7039995822283516,"[3615.19, 866.11]",4481.3,nan,nan,nan,nan,nan
96653912,96699065,0,10878702,7th Avenue North,residential,False,False,188.979,739,678,44.0,0.004,0.3100000023841858,0.4638517417255776,[1392.57],1392.57,nan,nan,nan,nan,nan
96653912,96791361,0,"[10875608, 10887229]","['Palm Circle', 'Palm Tree Road']",residential,False,"[False, True]",269.956,"[1036, 573]",915,44.0,0.006,0.0,0.0,"[nan, nan]",0.0,nan,nan,nan,nan,nan
96661180,96661181,0,10876112,South 5th Avenue,residential,False,True,35.205,578,529,44.0,0.001,0.6499999761581421,1.0,[860.76],860.76,nan,nan,nan,nan,nan
96661180,96700806,0,83591018,5th Avenue South,residential,False,False,78.003,775,706,44.0,0.002,0.27000001072883606,0.3191498225697594,[322.07],322.07,nan,nan,nan,nan,nan
96661704,96661705,0,10876164,6th Avenue North,residential,False,True,70.868,"[2621, 581]",532,44.0,0.002,1.2400000095367432,1.0,"[4291.67, 547.79]",4839.46,nan,nan,nan,nan,nan
96661705,96661706,0,10876164,6th Avenue North,residential,False,True,105.815,"[2584, 585, 2613, 2247]",536,44.0,0.002,2.0199999809265137,1.0,"[542.19, 717.63, 3426.39, 4438.63]",9124.84,nan,nan,nan,nan,nan
96661705,96699057,0,687641943,1st Street North,tertiary,False,True,104.596,"[2576, 719]",658,50.0,0.002,1.2400000095367432,1.0,"[1043.32, 6945.85]",7989.17,2,nan,nan,nan,nan
96661705,6446330267,0,687641943,1st Street North,tertiary,False,False,92.46300000000002,"[2400, 2244, 2250, 1138, 2579, 2234]",1108,50.0,0.002,1.590000033378601,1.0,"[3304.65, 736.92, 558.02, 1169.8, 1035.31, 1684.57]",8489.27,2,nan,nan,nan,nan
96661706,96762605,0,351669850,North 2nd Street,residential,False,True,104.527,"[2243, 936, 2572, 2253, 2582]",833,40.0,0.003,2.0199999809265137,1.0,"[1189.65, 814.0, 875.62, 4600.22, 2209.44]",9688.93,nan,nan,25 mph,nan,nan
96661706,96699058,0,351669850,North 2nd Street,residential,False,False,104.86099999999999,"[2577, 722, 2263]",661,40.0,0.003,2.0199999809265137,1.0,"[932.08, 5106.81, 3988.47]",10027.36,nan,nan,25 mph,nan,nan
96661709,96661710,0,10876164,6th Avenue North,residential,False,True,106.11,593,544,44.0,0.002,1.5299999713897705,1.0,[8006.42],8006.42,nan,nan,nan,nan,nan
96661709,96824616,0,351669862,North 5th Street,residential,False,False,104.348,1058,923,44.0,0.002,1.659999966621399,1.0,[8721.89],8721.89,nan,nan,nan,nan,nan
96661709,96699059,0,351669862,North 5th Street,residential,False,True,104.318,"[2727, 727]",666,44.0,0.002,1.5299999713897705,1.0,"[4160.01, 3735.44]",7895.45,nan,nan,nan,nan,nan
96661710,96661711,0,10876164,6th Avenue North,residential,False,True,106.693,597,547,44.0,0.002,1.2000000476837158,1.0,[7157.18],7157.18,nan,nan,nan,nan,nan
96661710,96699060,0,10883745,North 6th Street,residential,False,True,104.521,731,670,44.0,0.002,1.1299999952316284,1.0,[6776.1],6776.1,nan,nan,nan,nan,nan
96661710,96766576,0,10883745,North 6th Street,residential,False,False,104.594,944,841,44.0,0.002,1.0399999618530273,1.0,[5551.29],5551.29,nan,nan,nan,nan,nan
96661711,96772159,0,10884265,7th Street North,residential,False,False,104.361,977,872,44.0,0.002,1.2300000190734863,1.0,[6728.15],6728.15,nan,nan,nan,nan,nan
96661711,96699061,0,10884265,7th Street North,residential,False,True,103.175,"[2371, 735]",674,44.0,0.002,1.2000000476837158,1.0,"[1517.73, 4201.61]",5719.34,nan,nan,nan,nan,nan
96661714,4377180264,0,10886114,North 10th Street,residential,False,True,99.317,2070,1095,56.0,0.002,0.12999999523162842,0.08935146318644045,[69.88],69.88,2,nan,35 mph,nan,nan
96661714,4377180251,0,10886114,North 10th Street,residential,False,False,95.559,2040,1085,56.0,0.002,0.12999999523162842,0.2457098300911368,[162.89],162.89,2,nan,35 mph,nan,nan
96661714,96661721,0,10876164,6th Avenue North,residential,False,True,131.906,"[609, 611, 613, 2375, 615, 605, 607]",557,44.0,0.003,0.12999999523162842,0.02275649192387542,"[nan, nan, nan, nan, nan, 24.0, nan]",24.0,nan,nan,nan,nan,nan
96661721,96699065,0,10886116,11th Street North,residential,False,True,90.647,741,680,44.0,0.002,0.0,0.0,[nan],0.0,nan,nan,nan,nan,nan
96661721,96791360,0,10886116,11th Street North,residential,False,False,91.081,"[2378, 1031]",911,44.0,0.002,0.0,0.0,"[nan, nan]",0.0,nan,nan,nan,nan,nan
96662032,96699488,0,444454367,1st Street South,tertiary,False,True,106.483,"[1699, 744, 1707, 1164, 1709, 1166, 1711, 1713]",683,50.0,0.002,2.0799999237060547,1.0,"[1380.92, 814.89, 1982.03, 1739.64, 2096.98, 536.75, 1422.73, 1941.22]",11915.16,2,nan,nan,nan,nan
96662032,96825463,0,444454367,1st Street South,tertiary,False,False,102.011,"[1704, 1724, 1063]",928,50.0,0.002,2.049999952316284,1.0,"[4153.16, 5779.93, 1079.44]",11012.53,2,nan,nan,nan,nan
96662035,96662047,0,10882817,South 4th Street,residential,False,True,22.55,643,580,44.0,0.001,2.109999895095825,1.0,[2210.46],2210.46,nan,nan,nan,nan,nan
96662035,96755251,0,10882817,South 4th Street,residential,False,False,103.726,922,821,44.0,0.002,2.140000104904175,1.0,[10234.98],10234.98,nan,nan,nan,nan,nan
96662035,1062545784,0,122483553,6th Avenue South,residential,False,True,27.74,1130,964,44.0,0.001,2.1700000762939453,1.0,[2783.29],2783.29,nan,nan,nan,nan,nan
96662036,96665468,0,10876469,South 5th Street,residential,False,False,103.5,678,617,44.0,0.002,2.0799999237060547,1.0,[9405.93],9405.93,nan,nan,nan,nan,nan
96662036,1062545784,0,122483553,6th Avenue South,residential,False,False,77.69,1129,963,44.0,0.002,2.1600000858306885,1.0,[7775.8],7775.8,nan,nan,nan,nan,nan
96662041,96662042,0,10876202,6th Avenue South,residential,False,True,108.908,635,573,44.0,0.002,1.0399999618530273,1.0,[6009.54],6009.54,nan,nan,nan,nan,nan
96662041,96699497,0,10894908,South 8th Street,residential,False,True,101.732,758,690,44.0,0.002,1.2799999713897705,1.0,[5726.65],5726.65,nan,nan,nan,nan,nan
96662041,96825465,0,10894908,South 8th Street,residential,False,False,107.218,1065,930,44.0,0.002,1.100000023841858,1.0,[6283.63],6283.63,nan,nan,nan,nan,nan
96662042,96662043,0,10876202,6th Avenue South,residential,False,True,106.41300000000001,"[2747, 638]",577,44.0,0.002,0.5099999904632568,1.0,"[989.29, 1807.44]",2796.73,nan,nan,nan,nan,nan
96662042,96699498,0,10884136,South 9th Street,tertiary,False,True,105.821,"[2689, 762, 2691]",695,50.0,0.002,0.6800000071525574,1.0,"[816.08, 3187.93, 874.39]",4878.4,2,nan,nan,nan,nan
96662042,96770929,0,10884136,South 9th Street,tertiary,False,False,102.185,"[2748, 959]",857,50.0,0.002,0.5099999904632568,1.0,"[2273.65, 1733.48]",4007.13,2,nan,nan,nan,nan
96662043,96699499,0,10878786,10th Street South,residential,False,True,108.189,"[2661, 765]",698,44.0,0.002,0.44999998807907104,1.0,"[2587.22, 328.89]",2916.11,2,nan,nan,nan,nan
96662043,96700806,0,10878786,10th Street South,residential,False,False,99.269,"[2658, 773, 2750]",708,44.0,0.002,0.27000001072883606,1.0,"[111.82, 614.35, 703.79]",1429.96,2,nan,nan,nan,nan
96662047,1062545784,0,10876203,6th Avenue South,residential,False,True,41.762,"[1128, 1237, 1134]",965,44.0,0.001,2.1500000953674316,1.0,"[1198.37, 1007.66, 1949.3]",4155.33,nan,nan,nan,nan,nan
96662047,96699491,0,"[10876203, 10882814]","['South 4th Street', '6th Avenue South']",residential,False,"[False, True]",139.44899999999998,"[1600, 1602, 1605, 1131, 750, 1136, 1596]",687,44.0,0.003,1.9500000476837158,1.0,"[2062.35, 881.24, 1576.21, 3433.48, 3910.55, 536.36, 595.76]",12995.95,nan,nan,nan,nan,nan
96665443,96665445,0,10876467,South 5th Street,residential,False,True,27.52,648,587,44.0,0.001,1.9500000476837158,1.0,[2592.38],2592.38,nan,nan,nan,nan,nan
96665443,96665457,0,10889535,10th Place South,residential,False,True,79.856,659,598,44.0,0.002,1.8600000143051147,1.0,[7213.39],7213.39,nan,nan,nan,nan,nan
96665443,96687749,0,10889535,10th Place South,residential,False,False,63.184000000000005,"[1095, 1097, 1099, 1101, 695]",636,44.0,0.001,2.0399999618530273,1.0,"[851.51, 445.97, 876.74, 2924.39, 914.92]",6013.53,nan,nan,nan,nan,nan
96665445,96665447,0,10876467,South 5th Street,residential,False,True,104.235,651,590,44.0,0.002,1.9500000476837158,1.0,[9388.37],9388.37,nan,nan,nan,nan,nan
96665445,96687750,0,122483547,10th Avenue South,residential,False,True,105.947,700,639,44.0,0.002,2.009999990463257,1.0,[10003.52],10003.52,nan,nan,nan,nan,nan
96665445,96687749,0,122483547,10th Avenue South,residential,False,False,47.1,696,634,44.0,0.001,2.0399999618530273,1.0,[4457.01],4457.01,nan,nan,nan,nan,nan
96665447,96716407,0,10880199,11th Avenue South,residential,False,True,105.795,798,725,44.0,0.002,1.840000033378601,1.0,[9210.51],9210.51,nan,nan,nan,nan,nan
96665447,96721666,0,10880199,11th Avenue South,residential,False,False,105.688,822,749,44.0,0.002,2.2100000381469727,1.0,[10175.49],10175.49,nan,nan,nan,nan,nan
96665450,96716409,0,10887552,15th Avenue South,residential,False,True,105.311,804,731,44.0,0.002,2.640000104904175,1.0,[10776.47],10776.47,nan,nan,nan,nan,nan
96665450,96755244,0,10887552,15th Avenue South,residential,False,False,106.586,914,813,44.0,0.002,2.700000047683716,1.0,[11823.05],11823.05,nan,nan,nan,nan,nan
96665457,96665458,0,10876468,South 5th Street,residential,False,True,77.36,661,600,44.0,0.002,2.1600000858306885,1.0,[7589.02],7589.02,nan,nan,nan,nan,nan
96665457,96772612,0,10889535,10th Place South,residential,False,True,134.441,986,880,44.0,0.003,1.809999942779541,1.0,[11022.57],11022.57,nan,nan,nan,nan,nan
96665458,96665459,0,10876468,South 5th Street,residential,False,True,74.649,665,604,44.0,0.002,2.200000047683716,1.0,[7547.01],7547.01,nan,nan,nan,nan,nan
96665458,96732169,0,122483555,9th Avenue South,residential,False,False,203.14000000000001,"[857, 851, 853, 855]",774,44.0,0.005,2.2300000190734863,1.0,"[17651.66, 917.92, 425.63, 645.77]",19640.98,nan,nan,nan,nan,nan
96665459,96755227,0,10886049,Lower 8th Avenue South,residential,False,False,196.782,"[905, 2740]",812,44.0,0.004,2.309999942779541,1.0,"[4601.89, 15391.09]",19992.98,nan,nan,nan,nan,nan
96665460,96699491,0,10878731,7th Avenue South,residential,False,False,198.018,747,684,44.0,0.005,2.140000104904175,1.0,[19341.62],19341.62,nan,nan,nan,nan,nan
96665463,96716412,0,10897442,Shetter Avenue,residential,False,True,106.33500000000001,"[1952, 1857, 1859, 810, 1948]",737,44.0,0.002,1.5499999523162842,1.0,"[2475.9, 2714.62, 1348.1, 1109.22, 264.76]",7912.6,nan,nan,nan,nan,nan
96665467,96716413,0,122483551,3rd Avenue South,residential,False,True,107.049,814,741,44.0,0.002,1.4199999570846558,1.0,[8066.14],8066.14,nan,nan,nan,nan,nan
96665467,96755249,0,122483551,3rd Avenue South,residential,False,False,107.071,920,817,44.0,0.002,2.309999942779541,1.0,[9792.71],9792.71,nan,nan,nan,nan,nan
96665468,96716416,0,83591037,5th Avenue South,residential,False,True,105.675,818,744,44.0,0.002,1.7200000286102295,1.0,[8582.77],8582.77,2,nan,nan,nan,nan
96665468,96755251,0,83591037,5th Avenue South,residential,False,False,106.612,924,822,44.0,0.002,2.140000104904175,1.0,[9914.92],9914.92,2,nan,nan,nan,nan
96669949,96669951,0,351669863,Pablo Avenue,residential,False,True,105.955,687,625,44.0,0.002,1.7799999713897705,1.0,[9150.27],9150.27,nan,nan,nan,nan,nan
96687746,96721662,0,444454367,1st Street South,tertiary,False,True,105.237,"[1650, 1154, 821, 1615]",748,50.0,0.002,2.1700000762939453,1.0,"[719.68, 803.77, 5904.45, 4480.49]",11908.39,2,nan,nan,nan,nan
96687746,96732155,0,444454367,1st Street South,tertiary,False,False,104.507,"[1666, 1155, 1668, 1157, 843]",770,50.0,0.002,2.1600000858306885,1.0,"[2215.54, 804.31, 2864.88, 5110.91, 787.74]",11783.38,2,nan,nan,nan,nan
96687747,96687749,0,122483547,10th Avenue South,residential,False,True,64.567,697,635,44.0,0.001,2.2899999618530273,1.0,[6490.6],6490.6,nan,nan,nan,nan,nan
96687747,96721666,0,10882814,South 4th Street,residential,False,True,108.434,"[825, 909, 911]",752,44.0,0.002,2.2899999618530273,1.0,"[8944.92, 964.94, 1008.18]",10918.04,nan,nan,nan,nan,nan
96687747,96732169,0,10882814,South 4th Street,residential,False,False,98.48200000000001,"[849, 906, 1583]",773,44.0,0.002,2.2899999618530273,1.0,"[3938.98, 1287.12, 4656.77]",9882.87,nan,nan,nan,nan,nan
96687750,96716407,0,10879842,South 6th Street,residential,False,True,102.669,796,723,44.0,0.002,1.7699999809265137,1.0,[8894.29],8894.29,nan,nan,nan,nan,nan
96687750,96687751,0,122483547,10th Avenue South,residential,False,True,107.257,704,643,44.0,0.002,1.7599999904632568,1.0,[8455.5],8455.5,nan,nan,nan,nan,nan
96687751,96721669,0,10884323,7th Street South,residential,False,True,103.999,829,756,44.0,0.002,1.090000033378601,1.0,[5976.66],5976.66,nan,nan,nan,nan,nan
96687751,96772612,0,10884323,7th Street South,residential,False,False,61.758,984,879,44.0,0.001,1.2999999523162842,1.0,[4143.65],4143.65,nan,nan,nan,nan,nan
96687751,96687752,0,122483547,10th Avenue South,residential,False,True,106.603,707,646,44.0,0.002,1.090000033378601,1.0,[5769.99],5769.99,nan,nan,nan,nan,nan
96687752,96721670,0,91487775,South 8th Street,residential,False,True,104.913,833,759,44.0,0.002,0.5600000023841858,1.0,[2808.44],2808.44,nan,nan,nan,nan,nan
96687752,96687753,0,122483547,10th Avenue South,residential,False,True,105.666,711,650,44.0,0.002,1.0099999904632568,1.0,[4749.26],4749.26,nan,nan,nan,nan,nan
96687753,96721671,0,10884136,South 9th Street,tertiary,False,True,105.204,837,763,50.0,0.002,1.1100000143051147,1.0,[7769.32],7769.32,2,nan,nan,nan,nan
96687753,96732180,0,10884136,South 9th Street,tertiary,False,False,105.252,864,781,50.0,0.002,1.0099999904632568,1.0,[7060.57],7060.57,2,nan,nan,nan,nan
96687753,96687754,0,122483547,10th Avenue South,residential,False,True,106.359,714,652,44.0,0.002,1.0099999904632568,1.0,[4610.45],4610.45,nan,nan,nan,nan,nan
96687754,96700810,0,10878786,10th Street South,residential,False,False,103.898,780,713,44.0,0.002,1.0399999618530273,1.0,[5527.45],5527.45,2,nan,nan,nan,nan
96687754,96700813,0,10878786,10th Street South,residential,False,True,104.673,"[784, 2721, 2755, 2719]",717,44.0,0.002,1.2200000286102295,1.0,"[1227.25, 2755.86, 234.05, 1244.91]",5462.07,2,nan,nan,nan,nan
96699056,96699057,0,10878701,7th Avenue North,residential,False,True,71.304,"[2357, 717, 2623]",656,44.0,0.002,1.4500000476837158,1.0,"[3227.54, 439.88, 1520.46]",5187.88,nan,nan,nan,nan,nan
96699057,96699058,0,10878701,7th Avenue North,residential,False,True,108.304,"[721, 2586, 2615]",660,44.0,0.002,2.0,1.0,"[754.27, 500.85, 7675.75]",8930.87,nan,nan,nan,nan,nan
96699057,96832632,0,687641943,1st Street North,tertiary,False,True,104.174,"[1076, 2359]",941,50.0,0.002,1.4299999475479126,1.0,"[3937.46, 4839.76]",8777.22,2,nan,nan,nan,nan
96699058,96762607,0,351669850,North 2nd Street,residential,False,False,104.502,"[939, 2364]",836,40.0,0.003,2.059999942779541,1.0,"[5009.53, 5024.27]",10033.8,nan,nan,25 mph,nan,nan
96699059,96699060,0,10878701,7th Avenue North,residential,False,True,106.171,729,668,44.0,0.002,1.2699999809265137,1.0,[7508.63],7508.63,nan,nan,nan,nan,nan
96699059,96908608,0,351669862,North 5th Street,residential,False,True,104.196,"[1107, 2342]",954,44.0,0.002,1.2200000286102295,1.0,"[3414.33, 3597.24]",7011.57,nan,nan,nan,nan,nan
96699060,96699061,0,10878701,7th Avenue North,residential,False,True,106.449,733,671,44.0,0.002,1.3700000047683716,1.0,[7517.22],7517.22,nan,nan,nan,nan,nan
96699060,96766577,0,10883745,North 6th Street,residential,False,True,104.472,948,845,44.0,0.002,1.2100000381469727,1.0,[6819.93],6819.93,nan,nan,nan,nan,nan
96699061,96772161,0,10884265,7th Street North,residential,False,True,105.486,981,876,44.0,0.002,1.2400000095367432,1.0,[6280.56],6280.56,nan,nan,nan,nan,nan
96699063,4377180257,0,10886114,North 10th Street,residential,False,True,6.739,2055,1092,56.0,0.0,0.30000001192092896,1.0,[124.67],124.67,2,nan,35 mph,nan,nan
96699063,4377180264,0,10886114,North 10th Street,residential,False,False,6.885,2069,1094,56.0,0.0,0.2199999988079071,0.6528275105990667,[74.16],74.16,2,nan,35 mph,nan,nan
96699065,96791361,0,10886116,11th Street North,residential,False,True,88.819,1035,913,44.0,0.002,0.0,0.0,[nan],0.0,nan,nan,nan,nan,nan
96699488,96833136,0,444454367,1st Street South,tertiary,False,True,104.51599999999999,"[1089, 1092, 1162, 2639, 2641, 2643, 2645, 1687]",951,50.0,0.002,2.259999990463257,1.0,"[657.95, 2628.01, 715.19, 1656.24, 2453.37, 1621.94, 1194.02, 1073.07]",11999.79,2,nan,nan,nan,nan
96699497,96699498,0,10878732,7th Avenue South,residential,False,True,107.802,760,692,44.0,0.002,0.6700000166893005,1.0,[4148.87],4148.87,nan,nan,nan,nan,nan
96699497,96912621,0,10894908,South 8th Street,residential,False,True,106.194,1115,960,44.0,0.002,0.6700000166893005,1.0,[4264.68],4264.68,nan,nan,nan,nan,nan
96699498,96770934,0,10884136,South 9th Street,tertiary,False,True,104.444,964,861,50.0,0.002,0.7599999904632568,1.0,[5850.55],5850.55,2,nan,nan,nan,nan
96699498,96699499,0,10878732,7th Avenue South,residential,False,True,106.456,"[2657, 763, 2693]",696,44.0,0.002,0.6700000166893005,1.0,"[2086.07, 947.52, 1094.76]",4128.35,nan,nan,nan,nan,nan
96699499,96700808,0,10878786,10th Street South,residential,False,True,102.18,"[778, 2402]",712,44.0,0.002,0.44999998807907104,1.0,"[1824.02, 984.14]",2808.16,2,nan,nan,nan,nan
96700804,96715468,0,10897442,Shetter Avenue,residential,False,True,168.79,"[2001, 1969, 2003, 1971, 794]",721,44.0,0.004,0.49000000953674316,0.4715993710884554,"[309.45, nan, 167.34, nan, 835.54]",1312.33,nan,nan,nan,nan,nan
96700804,96770924,0,10897442,Shetter Avenue,residential,False,False,107.862,"[953, 1986, 1884, 1886]",850,44.0,0.002,0.28999999165534973,0.44506034819405477,"[379.88, 78.34, nan, 40.83]",499.05,nan,nan,nan,nan,nan
96700805,96770925,0,122483551,3rd Avenue South,residential,False,False,105.869,957,853,44.0,0.002,0.2199999988079071,0.6532776261488652,[797.53],797.53,nan,nan,nan,nan,nan
96700806,96770929,0,83591037,5th Avenue South,residential,False,False,107.055,961,856,44.0,0.002,0.49000000953674316,1.0,[2815.55],2815.55,2,nan,nan,nan,nan
96700808,96770934,0,10896800,8th Avenue South,residential,False,False,106.469,965,862,44.0,0.002,0.7699999809265137,1.0,[4647.8],4647.8,nan,nan,nan,nan,nan
96700808,96700810,0,10878786,10th Street South,residential,False,True,109.78200000000001,"[781, 1717]",715,44.0,0.002,0.5,1.0,"[1827.31, 1261.56]",3088.87,2,nan,nan,nan,nan
96700810,96732180,0,10880864,9th Avenue South,residential,False,False,106.698,862,779,44.0,0.002,0.8899999856948853,1.0,[5100.38],5100.38,nan,nan,nan,nan,nan
96700813,96721671,0,10880199,11th Avenue South,residential,False,False,108.874,"[2632, 834, 2756, 2634]",764,44.0,0.002,1.1100000143051147,1.0,"[675.54, 1855.25, 555.09, 599.55]",3685.43,nan,nan,nan,nan,nan
96715468,1371728482,0,"[10897442, 122885310]",Shetter Avenue,residential,False,True,266.589,"[1193, 1201, 1965]",969,44.0,0.006,0.5600000023841858,1.0,"[2056.1, 2457.72, 1054.54]",5568.36,nan,nan,nan,nan,nan
96716407,96721669,0,10880199,11th Avenue South,residential,False,True,105.927,827,754,44.0,0.002,1.6200000047683716,1.0,[7841.14],7841.14,nan,nan,nan,nan,nan
96716408,96755027,0,83591029,13th Avenue South,tertiary,False,False,107.65,890,797,50.0,0.002,1.5,1.0,[8737.95],8737.95,2,nan,nan,nan,nan
96716408,3564514093,0,85691282,South 6th Street,residential,False,False,37.293,1325,1058,44.0,0.001,1.649999976158142,1.0,[2882.75],2882.75,nan,nan,nan,nan,nan
96716408,96755038,0,83591029,13th Avenue South,tertiary,False,True,210.624,"[896, 2391]",803,50.0,0.004,2.6700000762939453,1.0,"[13237.15, 10953.98]",24191.13,2,nan,nan,nan,nan
96716409,96772614,0,10887552,15th Avenue South,residential,False,True,107.262,988,883,44.0,0.002,1.8600000143051147,1.0,[8163.07],8163.07,nan,nan,nan,nan,nan
96716412,96772621,0,10897442,Shetter Avenue,residential,False,True,106.797,"[994, 1867, 1946]",889,44.0,0.002,1.2000000476837158,1.0,"[4565.3, 1388.28, 1119.29]",7072.87,nan,nan,nan,nan,nan
96716413,96772623,0,122483551,3rd Avenue South,residential,False,True,105.792,998,892,44.0,0.002,1.2400000095367432,1.0,[7297.53],7297.53,nan,nan,nan,nan,nan
96716416,1062548254,0,10879843,South 6th Street,residential,False,True,42.817,1137,966,44.0,0.001,1.3600000143051147,1.0,[3156.68],3156.68,nan,nan,nan,nan,nan
96716416,96772625,0,83591037,5th Avenue South,residential,False,True,106.782,1002,895,44.0,0.002,1.3600000143051147,1.0,[7490.76],7490.76,2,nan,nan,nan,nan
96721669,96721670,0,10880199,11th Avenue South,residential,False,True,108.38,831,758,44.0,0.002,0.9100000262260437,1.0,[4418.0],4418.0,nan,nan,nan,nan,nan
96721670,96721671,0,10880199,11th Avenue South,residential,False,True,104.171,835,761,44.0,0.002,1.1100000143051147,1.0,[5631.28],5631.28,nan,nan,nan,nan,nan
96723852,96772158,0,444454418,3rd Avenue North,residential,False,False,107.38,975,869,44.0,0.002,1.590000033378601,1.0,[7853.77],7853.77,nan,nan,nan,nan,nan
96732155,96833136,0,444454367,1st Street South,tertiary,False,False,103.888,"[1091, 1159, 2394, 1684, 2392, 2714]",950,50.0,0.002,2.2899999618530273,1.0,"[5146.38, 518.98, 2148.16, 1240.28, 2274.64, 1046.66]",12375.1,2,nan,nan,nan,nan
96732169,96755227,0,10882814,South 4th Street,residential,False,False,65.855,903,810,44.0,0.001,2.0899999141693115,1.0,[6398.91],6398.91,nan,nan,nan,nan,nan
96732177,96732180,0,10880864,9th Avenue South,residential,False,True,105.853,863,780,44.0,0.002,0.8299999833106995,1.0,[3657.22],3657.22,nan,nan,nan,nan,nan
96732177,96912621,0,10894908,South 8th Street,residential,False,False,102.182,1114,959,44.0,0.002,0.5799999833106995,1.0,[2152.21],2152.21,nan,nan,nan,nan,nan
96732180,96770934,0,10884136,South 9th Street,tertiary,False,False,104.95,963,860,50.0,0.002,0.8299999833106995,1.0,[5725.18],5725.18,2,nan,nan,nan,nan
