u,v,key,osmid,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,lanes,ref,maxspeed,junction,access
96625122,96625124,0,434963585,4th Avenue South,residential,False,True,105.33399999999999,"[1826, 1828, 1830, 1907, 2868, 376]",340,44.0,0.002,2.369999885559082,1.0,"[1553.54, 2255.39, 2115.8, 1330.37, 534.17, 2760.64]",10549.91,nan,nan,nan,nan,nan
96625122,96632602,0,10874232,3rd Street South,primary,True,False,104.593,"[1904, 1905, 443]",407,56.0,0.002,2.309999942779541,1.0,"[1685.75, 7277.68, 8889.81]",17853.24,2,FL A1A,35 mph,nan,nan
96625124,96755251,0,10882817,South 4th Street,residential,False,True,105.006,"[1832, 1834, 923]",823,44.0,0.002,2.359999895095825,1.0,"[5245.69, 2133.35, 3390.11]",10769.15,nan,nan,nan,nan,nan
96625124,96755249,0,10882817,South 4th Street,residential,False,False,104.535,"[1902, 918]",818,44.0,0.002,2.309999942779541,1.0,"[5465.7, 5264.52]",10730.22,nan,nan,nan,nan,nan
96625124,96625125,0,434963585,4th Avenue South,residential,False,True,104.756,"[380, 1909]",344,44.0,0.002,2.259999990463257,1.0,"[5889.32, 4263.99]",10153.31,nan,nan,nan,nan,nan
96625125,96665467,0,10876469,South 5th Street,residential,False,False,105.6,674,613,44.0,0.002,1.809999942779541,1.0,[8479.6],8479.6,nan,nan,nan,nan,nan
96625125,96625126,0,434963585,4th Avenue South,residential,False,True,107.973,384,347,44.0,0.002,1.809999942779541,1.0,[9069.73],9069.73,nan,nan,nan,nan,nan
96625125,96665468,0,10876469,South 5th Street,residential,False,True,104.387,"[2677, 679]",620,44.0,0.002,1.809999942779541,1.0,"[4642.73, 4691.97]",9334.7,nan,nan,nan,nan,nan
96625126,96716413,0,10879843,South 6th Street,residential,False,False,105.736,811,738,44.0,0.002,1.3700000047683716,1.0,[7327.5],7327.5,nan,nan,nan,nan,nan
96625126,96625127,0,434963585,4th Avenue South,residential,False,True,105.398,388,349,44.0,0.002,1.3799999952316284,1.0,[7858.55],7858.55,nan,nan,nan,nan,nan
96625126,96716416,0,10879843,South 6th Street,residential,False,True,104.38300000000001,"[816, 2675]",745,44.0,0.002,1.3899999856948853,1.0,"[3859.89, 3845.38]",7705.27,nan,nan,nan,nan,nan
96625127,96772625,0,10884324,7th Street South,residential,False,True,105.554,"[1000, 1891, 1893]",897,44.0,0.002,1.2400000095367432,1.0,"[893.62, 5666.52, 744.86]",7305.0,nan,nan,nan,nan,nan
96625127,96772623,0,10884324,7th Street South,residential,False,False,104.53,"[2672, 995, 2742]",893,44.0,0.002,1.2699999809265137,1.0,"[2334.6, 3422.03, 1339.38]",7096.01,nan,nan,nan,nan,nan
96625127,96625128,0,434963585,4th Avenue South,residential,False,True,106.608,"[392, 2671]",356,44.0,0.002,1.2400000095367432,1.0,"[2412.26, 4494.82]",6907.08,nan,nan,nan,nan,nan
96625128,96625129,0,434963585,4th Avenue South,residential,False,True,107.808,396,358,44.0,0.002,0.9200000166893005,1.0,[4541.3],4541.3,nan,nan,nan,nan,nan
96625128,96825465,0,10894908,South 8th Street,residential,False,True,104.93100000000001,"[1066, 2886]",932,44.0,0.002,0.9200000166893005,1.0,"[2921.37, 2831.44]",5752.81,nan,nan,nan,nan,nan
96625128,96832919,0,10894908,South 8th Street,residential,False,False,104.217,"[1080, 1112, 2668]",948,44.0,0.002,0.9200000166893005,1.0,"[1303.59, 1502.15, 2839.53]",5645.27,nan,nan,nan,nan,nan
96625129,96625130,0,434963585,4th Avenue South,residential,False,True,107.407,400,362,44.0,0.002,0.27000001072883606,0.8346183672314098,[1117.1],1117.1,nan,nan,nan,nan,nan
96625129,96770929,0,10884136,South 9th Street,tertiary,False,True,106.74199999999999,"[960, 2665]",858,50.0,0.002,0.4399999976158142,1.0,"[1826.3, 1083.26]",2909.56,2,nan,nan,nan,nan
96625129,96770925,0,10884136,South 9th Street,tertiary,False,False,103.89500000000001,"[2666, 955]",855,50.0,0.002,0.4099999964237213,1.0,"[1386.6, 1416.05]",2802.65,2,nan,nan,nan,nan
96625130,96625131,0,434963585,4th Avenue South,residential,False,True,76.648,403,366,44.0,0.002,0.2800000011920929,0.8851964982581808,[722.58],722.58,nan,nan,nan,nan,nan
96625130,96700806,0,10878786,10th Street South,residential,False,True,107.89,"[774, 2663]",709,44.0,0.002,0.27000001072883606,0.9266337816689121,"[970.39, 292.76]",1263.15,2,nan,nan,nan,nan
96625130,96700805,0,10878786,10th Street South,residential,False,False,105.176,"[1962, 770]",705,44.0,0.002,0.07999999821186066,0.08447885642319439,"[53.31, nan]",53.31,2,nan,nan,nan,nan
96625131,96661180,0,10886158,11th Street South,residential,False,True,105.843,576,527,44.0,0.002,0.12999999523162842,0.7077451871512125,[424.49],424.49,nan,nan,nan,nan,nan
96625131,96758648,0,10883108,South 4th Avenue,residential,False,True,26.258000000000003,"[1960, 926]",825,44.0,0.001,0.25,1.0,"[189.19, 142.68]",331.87,nan,nan,nan,nan,nan
96631227,96634599,0,10874354,1st Avenue North,residential,False,True,107.12,"[497, 2699, 2089]",461,44.0,0.002,0.6499999761581421,1.0,"[2069.45, 1121.01, 751.63]",3942.09,nan,nan,nan,nan,nan
96631227,96634597,0,10874354,1st Avenue North,residential,False,False,106.095,"[2648, 492]",455,44.0,0.002,1.1100000143051147,1.0,"[683.6, 5030.01]",5713.61,nan,nan,nan,nan,nan
96631228,96791302,0,444454418,3rd Avenue North,residential,False,True,106.85,1009,900,44.0,0.002,0.6600000262260437,1.0,[3477.97],3477.97,nan,nan,nan,nan,nan
96631228,96723852,0,444454418,3rd Avenue North,residential,False,False,106.023,840,767,44.0,0.002,1.4600000381469727,1.0,[6924.79],6924.79,nan,nan,nan,nan,nan
96631230,96791303,0,444563942,5th Avenue North,residential,False,True,108.666,1012,903,44.0,0.002,0.4300000071525574,1.0,[2287.42],2287.42,nan,nan,nan,nan,nan
96631230,96772159,0,444563942,5th Avenue North,residential,False,False,212.943,979,874,44.0,0.005,1.6100000143051147,1.0,[14934.0],14934.0,nan,nan,nan,nan,nan
96631230,96631231,0,10874111,North 9th Street,residential,False,True,104.417,"[417, 2348]",381,44.0,0.002,0.6399999856948853,1.0,"[3139.49, 222.33]",3361.82,nan,nan,nan,nan,nan
