osmid,name,highway,maxspeed,oneway,reversed,length,rfid_c,geometry,rfid,avgspeed,time,bridge,access,lanes,service,alt_dist,alt_nodes,diff_dist,detour
7476094,Bierstraat,residential,30,True,False,64.0,"[585, 146, 583]","LINESTRING (4.3184921 52.0746479, 4.3181805 52.0749161, 4.3181336 52.0749562, 4.3179505 52.0751124)",90,30.0,8.0,nan,nan,nan,nan,343.0,"[45130358, 45132751, 45136410, 45135189, 45132825]",279.0,1
7476169,Bierkade,residential,30,True,False,89.0,"[296, 157, 607, 599]","LINESTRING (4.3195602 52.0750916, 4.3195329 52.0750769, 4.3194764 52.075059, 4.3193851 52.0750383, 4.3184921 52.0746479)",99,30.0,11.0,nan,nan,nan,nan,350.0,"[45130358, 45132825, 45135189, 45136410, 45132751]",261.0,1
7476032,Stille Veerkade,residential,50,True,False,26.0,"[474, 148]","LINESTRING (4.3150668 52.0745861, 4.3149805 52.0745171, 4.3148331 52.0743996)",92,50.0,2.0,nan,nan,nan,nan,34.0,"[45130708, 45130249, 568103757]",8.0,1
7476057,Wagenstraat,residential,30,True,False,73.0,"[483, 156, 203]","LINESTRING (4.3142292 52.074994, 4.3149052 52.0746607, 4.3149947 52.0746127, 4.3150668 52.0745861)",97,30.0,9.0,nan,nan,nan,nan,404.0,"[45130708, 568103757, 11910884639, 45126420, 45128012, 45132248]",331.0,1
7476543,Amsterdamse Veerkade,residential,50,True,False,131.0,"[476, 276, 478, 350]","LINESTRING (4.3165084 52.0753591, 4.3164067 52.0753014, 4.3156145 52.0748792, 4.3152647 52.0746928, 4.3150668 52.0745861)",162,50.0,9.0,nan,nan,nan,nan,143.0,"[45130708, 45130249, 45133920, 1942904366]",12.0,1
203248363,Prinsegracht,tertiary,30,True,False,77.0,152,"LINESTRING (4.3070799 52.0748631, 4.3061038 52.0745229)",93,30.0,9.0,nan,nan,nan,nan,,nan,,0
"[446147162, 7477486]",Korte Beestenmarkt,residential,30,True,False,73.0,"[652, 213, 151]","LINESTRING (4.3070799 52.0748631, 4.3070435 52.0749037, 4.3068255 52.075144, 4.3065641 52.0754321)",94,30.0,9.0,nan,nan,nan,nan,221.0,"[45131777, 2132415438, 6518692151, 45134056]",148.0,1
"[203248352, 203248363]",Prinsegracht,tertiary,30,True,False,81.0,"[320, 464, 497, 406, 407, 408, 409, 410, 411, 412]","LINESTRING (4.308136 52.0751873, 4.3080997 52.0751786, 4.3080788 52.0751732, 4.3079511 52.075129, 4.307904 52.0751152, 4.3078613 52.0751004, 4.3073914 52.0749389, 4.3072974 52.0749149, 4.3072174 52.0749002, 4.307163 52.07489, 4.3070799 52.0748631)",168,30.0,10.0,nan,nan,2,nan,213.0,"[45131777, 45134056, 6518692151, 2132415438]",132.0,1
7476057,Wagenstraat,residential,30,True,False,129.0,"[164, 179, 484, 251]","LINESTRING (4.312826 52.0757603, 4.3135179 52.0753952, 4.3137586 52.0752514, 4.3138664 52.075187, 4.3142292 52.074994)",115,30.0,15.0,nan,nan,nan,nan,502.0,"[45132248, 45128012, 1947942327, 45130354, 45135604]",373.0,1
73415781,Zieken,tertiary,50,True,False,7.0,158,"LINESTRING (4.3195602 52.0750916, 4.3196407 52.0750552)",98,50.0,0.0,nan,nan,nan,nan,101.0,"[45132751, 45133629, 1510612636]",94.0,1
"[556041154, 555412875, 555412869]",Bierkade,residential,50,True,False,17.0,"[501, 523, 165, 502]","LINESTRING (4.3197377 52.0752032, 4.3196787 52.0751647, 4.3196625 52.0751559, 4.3196469 52.0751444, 4.3195602 52.0750916)",102,50.0,1.0,nan,nan,nan,nan,91.0,"[45132751, 1510612636, 45133629]",74.0,1
"[48095972, 613529318]",Spui,tertiary,50,True,False,153.0,"[480, 516, 293, 584, 207, 176, 597, 281, 186, 479]","LINESTRING (4.3178747 52.0759937, 4.3179631 52.0759507, 4.3180177 52.0759282, 4.3181404 52.0758653, 4.3184344 52.0757145, 4.3184694 52.0756965, 4.3187463 52.0755414, 4.3188303 52.0754947, 4.3193944 52.0751816, 4.3194343 52.0751595, 4.3195602 52.0750916)",120,50.0,11.0,nan,nan,1,nan,183.0,"[45132751, 45130358, 45132825, 45135189, 45136410]",30.0,1
7476144,Aprochestraat,residential,30,False,True,40.0,167,"LINESTRING (4.3179505 52.0751124, 4.3184037 52.0753349)",104,30.0,5.0,nan,nan,nan,nan,,nan,,0
7476094,Bierstraat,residential,30,True,False,79.0,"[208, 159]","LINESTRING (4.3179505 52.0751124, 4.3173138 52.0756476, 4.3172693 52.0756837)",101,30.0,9.0,nan,nan,nan,nan,328.0,"[45132825, 45130358, 45132751, 45136410, 45135189]",249.0,1
672085086,Spui,tertiary,50,True,False,103.0,"[294, 166]","LINESTRING (4.3197377 52.0752032, 4.3196047 52.0752647, 4.3185914 52.0758015)",103,50.0,7.0,nan,nan,nan,nan,233.0,"[45133629, 45132751, 45136410, 45136797, 45135941]",130.0,1
"[137738901, 555412877]",Pletterijkade,tertiary,50,True,False,84.0,"[161, 290, 292, 390, 391, 524, 500, 600]","LINESTRING (4.3196407 52.0750552, 4.319703 52.0750473, 4.3197883 52.0750542, 4.319845 52.0750595, 4.3200074 52.0750758, 4.3202836 52.0751179, 4.3201112 52.075129, 4.31999 52.0751437, 4.3197377 52.0752032)",153,50.0,6.0,nan,nan,nan,nan,24.0,"[45133629, 45132751, 1510612636]",-60.0,1
7476090,Kranestraat,residential,50,False,True,7.0,349,"LINESTRING (4.3165674 52.0753092, 4.3165084 52.0753591)",161,50.0,0.0,nan,nan,nan,nan,25.0,"[45133920, 2203725847, 45134298, 1942904366]",18.0,1
7476526,Amsterdamse Veerkade,residential,50,True,False,9.0,170,"LINESTRING (4.3165674 52.0753092, 4.3166638 52.0753609)",106,50.0,1.0,nan,nan,2,nan,23.0,"[45133920, 1942904366, 45134298, 2203725847]",14.0,1
7477380,Laan,residential,30,True,False,59.0,"[297, 171]","LINESTRING (4.3065641 52.0754321, 4.3060521 52.0752574, 4.3058115 52.0751759)",108,30.0,7.0,nan,nan,nan,nan,,nan,,0
7477488,Laan,residential,30,True,False,62.0,"[298, 299, 172, 402]","LINESTRING (4.3065641 52.0754321, 4.306767 52.0755025, 4.3068446 52.0755287, 4.3073331 52.0756934, 4.3073547 52.0757008)",109,30.0,7.0,nan,nan,nan,nan,232.0,"[45134056, 45131777, 2132415438, 6518692151]",170.0,1
7476543,Amsterdamse Veerkade,residential,50,True,False,9.0,173,"LINESTRING (4.316606 52.0754099, 4.3165084 52.0753591)",110,50.0,1.0,nan,nan,nan,nan,23.0,"[45134298, 2203725847, 45133920, 1942904366]",14.0,1
210284263,Kranestraat,residential,50,False,False,7.0,462,"LINESTRING (4.316606 52.0754099, 4.3166638 52.0753609)",178,50.0,0.0,nan,nan,nan,nan,25.0,"[45134298, 1942904366, 45133920, 2203725847]",18.0,1
210284263,Kranestraat,residential,50,False,True,79.0,"[184, 205, 181]","LINESTRING (4.3159282 52.0759857, 4.3160501 52.0758727, 4.3165634 52.0754412, 4.316606 52.0754099)",118,50.0,6.0,nan,nan,nan,nan,,nan,,0
"[138727820, 7476543]",Amsterdamse Veerkade,residential,50,True,False,107.0,"[192, 449, 514, 448, 284]","LINESTRING (4.3177368 52.0760618, 4.317673 52.0760108, 4.3176598 52.0759922, 4.3176048 52.0759516, 4.317531 52.0759029, 4.316606 52.0754099)",124,50.0,8.0,nan,nan,nan,nan,128.0,"[45134298, 2203725847, 45135189, 45136410, 45136815]",21.0,1
7476526,Amsterdamse Veerkade,residential,50,True,False,54.0,"[177, 282, 233, 513]","LINESTRING (4.3172693 52.0756837, 4.3176869 52.0759027, 4.3177581 52.0759385, 4.3177988 52.0759578, 4.3178747 52.0759937)",113,50.0,4.0,nan,nan,2,nan,181.0,"[45135189, 2203725847, 45134298, 45136815, 45136410]",127.0,1
7476526,Amsterdamse Veerkade,residential,50,True,False,55.0,461,"LINESTRING (4.3172693 52.0756837, 4.3166638 52.0753609)",177,50.0,4.0,nan,nan,2,nan,180.0,"[45135189, 45136410, 45136815, 45134298, 2203725847]",125.0,1
"[7476571, 7476037]","['Gedempte Gracht', 'Spui']",residential,"['30', '50']",True,False,376.0,"[193, 194, 195, 196, 581, 302, 625, 178, 249, 250]","LINESTRING (4.312826 52.0757603, 4.3132796 52.0759802, 4.314311 52.0764711, 4.314925 52.0767491, 4.3149623 52.0767668, 4.3150731 52.0768194, 4.3152304 52.0768942, 4.3157163 52.0771198, 4.3165199 52.0766918, 4.3168724 52.0765108, 4.3171184 52.0763802)",114,40.0,34.0,nan,nan,nan,nan,504.0,"[45135604, 45132248, 45130708, 1942904366, 45134298, 45136815, 568098184]",128.0,1
7476162,Ammunitiehof,residential,30,True,False,60.0,182,"LINESTRING (4.3185914 52.0758015, 4.3191784 52.0761964)",116,30.0,7.0,nan,nan,nan,nan,,nan,,0
"[48100993, 672085086]",Spui,tertiary,50,True,False,44.0,"[512, 519, 392, 522, 279, 280, 183, 283]","LINESTRING (4.3185914 52.0758015, 4.3185363 52.075828, 4.3184433 52.0758728, 4.3183932 52.0758963, 4.3182224 52.0760082, 4.3182061 52.0760196, 4.3181767 52.0760351, 4.3181451 52.0760518, 4.3181207 52.0760674)",117,50.0,3.0,nan,nan,nan,nan,292.0,"[45135941, 45133629, 45132751, 45136410, 45136797]",248.0,1
7476566,Ammunitiehaven,tertiary,50,True,False,19.0,"[185, 393, 530, 394]","LINESTRING (4.3178747 52.0759937, 4.3179576 52.0760209, 4.3179866 52.0760281, 4.318017 52.0760356, 4.3181207 52.0760674)",119,50.0,1.0,nan,nan,2,nan,49.0,"[45136410, 45136815, 1371032106, 45136797]",30.0,1
7476556,Spui,tertiary,50,True,False,12.0,"[471, 191]","LINESTRING (4.3177368 52.0760618, 4.3178129 52.0760242, 4.3178747 52.0759937)",123,50.0,1.0,nan,nan,nan,nan,56.0,"[45136410, 45136797, 1371032106, 45136815]",44.0,1
"[547757077, 7476566, 547757078]",Ammunitiehaven,tertiary,50,True,False,66.0,"[450, 451, 518, 230, 521, 395, 623, 285, 189, 511]","LINESTRING (4.3181207 52.0760674, 4.3181478 52.076077, 4.3181852 52.0760904, 4.3182299 52.0761061, 4.3182397 52.0761094, 4.3182834 52.0761252, 4.3183612 52.0761529, 4.3184788 52.0762068, 4.3188068 52.0763783, 4.3188477 52.0764072, 4.3188683 52.0764287)",121,50.0,5.0,nan,nan,"['3', '2']",nan,,nan,,0
48100993,Spui,tertiary,50,True,False,19.0,"[397, 624, 400, 254, 190]","LINESTRING (4.3181207 52.0760674, 4.3180294 52.0761153, 4.3180088 52.0761264, 4.317958 52.0761551, 4.3179493 52.0761595, 4.3179095 52.0761814)",122,50.0,1.0,nan,nan,nan,nan,49.0,"[45136797, 45136410, 45136815, 1371032106]",30.0,1
"[613529321, 7476571]",Spui,residential,50,True,False,55.0,"[515, 229, 232, 206, 286]","LINESTRING (4.3171184 52.0763802, 4.3174773 52.0761945, 4.317545 52.0761595, 4.3176065 52.0761276, 4.3176379 52.076108, 4.3177368 52.0760618)",132,50.0,4.0,nan,nan,nan,nan,91.0,"[45136815, 1371032106, 568098182, 568098184]",36.0,1
48095975,Schedeldoekshaven,tertiary,50,True,False,18.0,"[520, 396, 398, 399, 401, 529, 255]","LINESTRING (4.3179095 52.0761814, 4.3178759 52.0761619, 4.3178517 52.0761466, 4.3178333 52.076135, 4.3178177 52.0761248, 4.3178134 52.0761219, 4.3177928 52.076108, 4.3177368 52.0760618)",138,50.0,1.0,nan,nan,2,nan,50.0,"[45136815, 45136410, 45136797, 1371032106]",32.0,1
"[7476493, 739801527]",Bagijnestraat,residential,nan,False,"[False, True]",137.0,"[224, 198, 199, 526, 528, 627, 629, 631, 221]","LINESTRING (4.3159932 52.0778174, 4.3159245 52.0778151, 4.3158811 52.0778285, 4.3158558 52.077851, 4.3158414 52.0778644, 4.3158371 52.077885, 4.3158266 52.0779068, 4.3158424 52.0779418, 4.3153476 52.0784248, 4.3159666 52.0786864)",128,33.0,15.0,nan,nan,nan,alley,,nan,,0
7476574,Spui,residential,50,True,False,16.0,226,"LINESTRING (4.3171022 52.0765876, 4.3172736 52.0764942)",130,50.0,1.0,nan,nan,nan,nan,,nan,,0
1036660145,Lange Beestenmarkt,residential,30,False,False,43.0,582,"LINESTRING (4.3072916 52.074692, 4.3075928 52.0743528)",189,30.0,5.0,nan,nan,nan,nan,464.0,"[568098163, 2217327076, 45128010, 45126513, 6750121226]",421.0,1
"[446147163, 203251107]","['Lange Beestenmarkt', 'Prinsegracht']","['residential', 'tertiary']","['30', '50']",True,False,82.0,"[463, 496, 498, 499, 405, 219]","LINESTRING (4.3072916 52.074692, 4.3072627 52.0747265, 4.3072993 52.0747394, 4.3079206 52.0749541, 4.3079765 52.0749741, 4.3081105 52.0750396, 4.3081878 52.0751166)",127,40.0,7.0,nan,nan,2,nan,425.0,"[568098163, 6750121226, 45126513, 45128010, 2217327076]",343.0,1
44805176,Kalvermarkt,residential,nan,True,False,20.0,"[617, 222]","LINESTRING (4.3159932 52.0778174, 4.3161439 52.0778678, 4.3162516 52.077901)",129,33.0,2.0,nan,nan,nan,nan,,nan,,0
44805179,Spui,residential,50,True,False,17.0,"[504, 506, 227, 228]","LINESTRING (4.3172736 52.0764942, 4.3171996 52.0764669, 4.3171747 52.0764577, 4.3171554 52.0764434, 4.3171184 52.0763802)",131,50.0,1.0,nan,nan,nan,nan,129.0,"[568098182, 1371032106, 45136815, 568098184]",112.0,1
"[672085085, 7476574]",Spui,residential,50,True,False,56.0,"[256, 225, 214]","LINESTRING (4.3179095 52.0761814, 4.3178321 52.0762198, 4.317646 52.0763224, 4.3172736 52.0764942)",139,50.0,4.0,nan,nan,nan,nan,90.0,"[568098182, 568098184, 45136815, 1371032106]",34.0,1
44805873,Stille Veerkade,residential,50,False,False,112.0,656,"LINESTRING (4.3148331 52.0743996, 4.3136587 52.0737047)",192,50.0,8.0,nan,nan,nan,nan,365.0,"[568103757, 45130249, 1401604253, 1555832654, 45126420, 11910884639]",253.0,1
"[183874098, 44805876]",Paviljoensgracht,residential,30,True,False,85.0,"[239, 240, 303, 305, 659, 244, 308, 306, 344, 345, 347, 348]","LINESTRING (4.3132034 52.0734695, 4.3133148 52.0733903, 4.3133479 52.0733669, 4.3133518 52.0733642, 4.3136063 52.0731849, 4.3138477 52.0730148, 4.3138865 52.0729983, 4.3139211 52.0729924, 4.3139617 52.0729931, 4.3139853 52.0730014, 4.3140168 52.0730194, 4.3140258 52.0730381, 4.3140258 52.0730576)",136,30.0,10.0,nan,nan,nan,nan,82.0,"[568103758, 45126420, 1555832654]",-3.0,1
"[7477522, 211521661]",Laan,residential,nan,False,False,67.0,"[481, 300, 465, 403, 532, 467, 187]","LINESTRING (4.3073547 52.0757008, 4.307369 52.075706, 4.307601 52.0757949, 4.3077922 52.0758597, 4.3079003 52.0758964, 4.3080059 52.075931, 4.3081285 52.0759711, 4.3082029 52.0759955)",184,33.0,7.0,nan,nan,nan,nan,,nan,,0
"[547757082, 1061212620]",Schedeldoekshaven,tertiary,50,True,False,75.0,"[517, 231, 620, 621, 622, 505, 252, 287]","LINESTRING (4.31884 52.076479, 4.3187263 52.0764797, 4.3187025 52.0764802, 4.3185899 52.0764811, 4.3184444 52.0764571, 4.3181038 52.0762859, 4.3180703 52.0762679, 4.3179901 52.0762248, 4.3179095 52.0761814)",191,50.0,5.0,nan,nan,2,nan,,nan,,0
473979816,Stationsweg,residential,50,False,True,24.0,"[260, 324]","LINESTRING (4.3191835 52.072965, 4.3193048 52.0728485, 4.319375 52.0727848)",143,50.0,2.0,nan,nan,nan,nan,699.0,"[1401604230, 45117756, 45119962, 45125834, 1401604232]",675.0,1
7476134,Huijgensstraat,residential,30,True,False,271.0,"[578, 419, 420, 101, 422, 295, 421]","LINESTRING (4.3228648 52.0726428, 4.3227676 52.0726598, 4.3224994 52.0727138, 4.3199166 52.0732095, 4.3198344 52.0732184, 4.3197671 52.0732171, 4.3197089 52.0731994, 4.3191835 52.072965)",155,30.0,32.0,nan,nan,nan,nan,,nan,,0
7476238,Stationsweg,residential,50,False,True,22.0,269,"LINESTRING (4.3177551 52.0736582, 4.3174585 52.0737339)",147,50.0,2.0,nan,nan,nan,nan,339.0,"[1401604249, 45123452, 45125512, 45127192, 1401604251]",317.0,1
7476173,Groenewegje,residential,30,True,False,212.0,"[609, 267, 131, 543]","LINESTRING (4.3174585 52.0737339, 4.3175684 52.0738191, 4.3185834 52.0742635, 4.3196677 52.0747482, 4.3199382 52.0748702)",148,30.0,25.0,nan,nan,nan,nan,311.0,"[1401604251, 45127192, 1401604253, 45129228, 45130358, 45132751, 1510612636, 1510612604]",99.0,1
"[183874096, 7476253]","['Dunne Bierkade', 'Paviljoensgracht']",residential,30,True,False,223.0,"[608, 545, 544, 270, 342, 343, 346, 95]","LINESTRING (4.3168481 52.0739045, 4.3167176 52.0738452, 4.3159964 52.0736022, 4.3147049 52.0731437, 4.3143 52.073, 4.3142362 52.0729835, 4.3141923 52.0729869, 4.3141417 52.0730014, 4.3140258 52.0730576)",149,30.0,27.0,nan,nan,nan,nan,375.0,"[1401604253, 45130249, 568103757, 11910884639, 45126420, 1555832654]",152.0,1
137738845,Zieken,residential,30,True,False,73.0,"[288, 542]","LINESTRING (4.3199382 52.0748702, 4.3202034 52.0747492, 4.3207842 52.0744702)",152,30.0,9.0,nan,nan,nan,nan,,nan,,0
"[144084512, 144084513, 555412874]","['Spuibrug', 'Zieken']",residential,30,True,False,29.0,"[289, 291, 598, 311, 154]","LINESTRING (4.3196407 52.0750552, 4.3196694 52.0750248, 4.3197498 52.0749732, 4.3198792 52.0749044, 4.3198958 52.0748941, 4.3199382 52.0748702)",154,30.0,3.0,yes,nan,nan,nan,494.0,"[1510612604, 1401604251, 45127192, 1401604253, 45129228, 45130358, 45132751, 1510612636]",465.0,1
711717164,Jacob Jordaensstraat,residential,30,False,True,4.0,557,"LINESTRING (4.3089195 52.0687328, 4.3088942 52.0687608)",186,30.0,0.0,nan,nan,nan,nan,,nan,,0
416925657,Jan Hendrikstraat,tertiary,50,False,False,9.0,470,"LINESTRING (4.308136 52.0751873, 4.3081878 52.0751166)",179,50.0,1.0,nan,nan,2,nan,,nan,,0
211771895,Jan Hendrikstraat,tertiary,50,False,True,78.0,"[654, 533, 536, 538, 540, 216]","LINESTRING (4.3073547 52.0757008, 4.3074089 52.0756575, 4.3074846 52.0756062, 4.3074928 52.0756006, 4.3079857 52.0753002, 4.3080793 52.0752381, 4.308136 52.0751873)",185,50.0,6.0,nan,nan,2,nan,216.0,"[2132415438, 45131777, 45134056, 6518692151]",138.0,1
694321713,Jan Hendrikstraat,tertiary,50,False,False,24.0,534,"LINESTRING (4.3071881 52.0758921, 4.3073547 52.0757008)",183,50.0,2.0,nan,nan,2,nan,,nan,,0
