osmid,name,highway,maxspeed,oneway,reversed,length,rfid_c,geometry,rfid,avgspeed,time,bridge,access,lanes,service,alt_dist,alt_nodes,diff_dist,detour
7477630,Hooftskade,residential,30,False,False,143.0,"[370, 60, 487]","LINESTRING (4.3115942 52.0718406, 4.3114816 52.0718022, 4.3103548 52.0714171, 4.3097676 52.0712144)",37,30.0,17.0,nan,nan,nan,nan,425.0,"[45117394, 45113455, 45115928, 45117099, 45119614]",282.0,1
7476122,Van Hogendorpstraat,residential,30,True,False,278.0,"[576, 641, 580, 575, 48, 569, 570, 571, 572, 573, 574, 639]","LINESTRING (4.3160841 52.0713314, 4.3163851 52.071461, 4.316731 52.0716099, 4.3169343 52.0717003, 4.3171518 52.0717969, 4.3173724 52.0718949, 4.3175817 52.071988, 4.3177901 52.0720806, 4.3180004 52.072174, 4.318211 52.0722673, 4.3186148 52.072449, 4.3193093 52.0727558, 4.319375 52.0727848)",28,30.0,33.0,nan,nan,nan,nan,442.0,"[45117756, 45119962, 45125834, 1401604232, 1401604230]",164.0,1
7476442,Oranjeplein,residential,30,True,False,83.0,"[49, 637, 565]","LINESTRING (4.3160841 52.0713314, 4.3156496 52.071698, 4.3154352 52.071879, 4.3153934 52.0719391)",29,30.0,10.0,nan,nan,nan,nan,640.0,"[45117756, 1401604230, 1401604232, 45125834, 45119962]",557.0,1
7476439,Jan Blankenstraat,residential,30,False,False,40.0,568,"LINESTRING (4.3183349 52.0714077, 4.3186573 52.071103)",187,30.0,5.0,nan,nan,nan,nan,,nan,,0
7476427,Van Limburg Stirumstraat,residential,30,True,False,145.0,"[50, 643, 642]","LINESTRING (4.3183349 52.0714077, 4.3185526 52.0715016, 4.3193886 52.0718623, 4.3200805 52.0721425)",31,30.0,17.0,nan,nan,nan,nan,575.0,"[45118074, 45115551, 45117756, 1401604230, 45120702]",430.0,1
7477383,Lange Beestenmarkt,residential,30,True,False,61.0,"[67, 54]","LINESTRING (4.3100905 52.0715993, 4.3097195 52.0719981, 4.3096511 52.0720735)",32,30.0,7.0,nan,nan,nan,nan,394.0,"[45118779, 45120338, 45124236, 45122240, 45120695]",333.0,1
7477639,Zuidwal,residential,30,True,False,105.0,"[68, 486, 489, 491, 492, 373]","LINESTRING (4.3114414 52.072035, 4.3113507 52.0720042, 4.3107632 52.0718049, 4.3105378 52.0717285, 4.3103521 52.0716655, 4.3101998 52.0716138, 4.3100905 52.0715993)",40,30.0,13.0,nan,nan,nan,nan,350.0,"[45118779, 45120695, 45122240, 45124236, 45120338]",245.0,1
"[466705176, 7477397]","['Zuidwalland', 'Zuidwal']",residential,30,True,False,187.0,"[39, 40, 41, 490, 588, 367, 368, 369, 372]","LINESTRING (4.307836 52.0711423, 4.3078479 52.0711292, 4.3079596 52.0710063, 4.3080122 52.0709665, 4.3080751 52.070934, 4.3081309 52.0709267, 4.3081977 52.0709322, 4.3084657 52.0710177, 4.3100221 52.071554, 4.3100905 52.0715993)",181,30.0,22.0,nan,nan,nan,nan,,nan,,0
7476035,Slijpmolen,residential,30,False,False,100.0,"[64, 70, 74, 436, 438]","LINESTRING (4.3146428 52.0720698, 4.3146882 52.0720075, 4.3146887 52.0719833, 4.314664 52.0719616, 4.3145833 52.0719238, 4.3135677 52.0715739)",43,30.0,12.0,nan,nan,nan,nan,,nan,,0
184330446,Gortmolen,residential,30,True,False,92.0,"[56, 566, 351]","LINESTRING (4.3135677 52.0715739, 4.3131067 52.0720781, 4.3130642 52.0721235, 4.3129032 52.0722958)",34,30.0,11.0,nan,nan,nan,nan,298.0,"[45118782, 45117099, 45119614, 45121399]",206.0,1
"[208897240, 7476147]","['Gortmolen', 'Fagelstraat']",residential,30,True,False,88.0,"[386, 387, 388, 389, 43, 47, 52, 445]","LINESTRING (4.3138718 52.0709603, 4.3140752 52.0710617, 4.3141066 52.0710827, 4.3141153 52.0711059, 4.3141153 52.0711229, 4.3140982 52.0711422, 4.3139741 52.0712426, 4.3136792 52.0714755, 4.3135677 52.0715739)",175,30.0,11.0,nan,nan,nan,nan,266.0,"[45118782, 45117099, 45115928, 45114856, 2191518748]",178.0,1
7477634,Groenewegje,residential,30,True,False,103.0,61,"LINESTRING (4.3115942 52.0718406, 4.3129032 52.0722958)",36,30.0,12.0,nan,nan,nan,nan,287.0,"[45119614, 45120338, 45121399]",184.0,1
"[144087273, 7480930, 345622188]","['Koningstraat', 'Boekhorststraat']",residential,30,True,False,24.0,"[312, 313, 69]","LINESTRING (4.3114414 52.072035, 4.3114855 52.0719679, 4.3115459 52.0719012, 4.3115942 52.0718406)",41,30.0,3.0,yes,nan,nan,nan,431.0,"[45119614, 45121399, 45120338]",407.0,1
7476120,Spinozastraat,residential,30,True,False,47.0,"[66, 636, 76]","LINESTRING (4.3153934 52.0719391, 4.3153424 52.071958, 4.3150029 52.072236, 4.3149649 52.0722659)",39,30.0,6.0,nan,nan,nan,nan,587.0,"[45119962, 45125834, 45126520, 1401604249, 45123452, 1942904234]",540.0,1
7476256,Van der Duynstraat,residential,30,True,False,275.0,"[106, 638]","LINESTRING (4.3186141 52.0734097, 4.3157715 52.0721117, 4.3153934 52.0719391)",63,30.0,33.0,nan,nan,nan,nan,359.0,"[45119962, 45117756, 1401604230, 1401604232, 45125834]",84.0,1
